date,load_0,load_1,load_2,load_3,load_4,load_5,load_6,load_7,load_8,load_9,load_10,load_11,load_12,load_13,load_14,load_15,load_16,load_17,load_18,load_19,load_20,load_21,load_22,load_23
2008-10-30 00:00:00-04:00,1.517739,1.436028,1.387793,1.37635,1.371103,1.391412,1.474697,1.638053,1.750518,1.774152,1.739105,1.737399,1.714357,1.695313,1.708961,1.685301,1.677798,1.673837,1.66316,1.71668,1.768387,1.75426,1.700526,1.615895
2008-10-31 00:00:00-04:00,1.495265,1.429995,1.380515,1.367085,1.347793,1.372318,1.454099,1.606249,1.716746,1.736699,1.732364,1.727858,1.690008,1.693736,1.697833,1.669553,1.644185,1.632565,1.611061,1.627756,1.631417,1.628754,1.57969,1.494703
2008-11-01 00:00:00-04:00,1.39878,1.345311,1.288723,1.268066,1.243666,1.23508,1.25434,1.309813,1.388967,1.432175,1.478082,1.491159,1.482361,1.492552,1.48102,1.473749,1.458712,1.468527,1.495462,1.552221,1.56126,1.528271,1.479159,1.41659
2008-11-02 00:00:00-04:00,1.339655,1.262574,1.262574,1.166467,1.164113,1.176071,1.212343,1.247622,1.273138,1.325604,1.369156,1.38841,1.400219,1.41222,1.415393,1.423782,1.438492,1.472084,1.560406,1.596355,1.589823,1.550268,1.476072,1.375324
2008-11-03 00:00:00-05:00,1.286672,1.237358,1.202394,1.170953,1.188541,1.22875,1.318577,1.447555,1.531681,1.568041,1.606071,1.638805,1.646598,1.660766,1.659667,1.666157,1.67957,1.673632,1.803388,1.751219,1.713148,1.663253,1.58502,1.469648
2008-11-04 00:00:00-05:00,1.372383,1.289408,1.250229,1.228719,1.226384,1.240027,1.329047,1.492535,1.549061,1.598518,1.60486,1.64716,1.6763,1.692869,1.697047,1.708159,1.694927,1.684019,1.747322,1.762268,1.71976,1.65255,1.586923,1.482817
2008-11-05 00:00:00-05:00,1.381963,1.316875,1.267552,1.25416,1.266549,1.272528,1.361392,1.521331,1.60587,1.670046,1.669921,1.700274,1.726359,1.722178,1.745024,1.750777,1.742637,1.762725,1.801107,1.821319,1.778606,1.722689,1.644266,1.536963
2008-11-06 00:00:00-05:00,1.416509,1.348973,1.304923,1.293338,1.269984,1.298221,1.407273,1.558254,1.632713,1.654227,1.676939,1.704777,1.701947,1.741058,1.749599,1.743865,1.74552,1.74044,1.802168,1.830438,1.778794,1.717231,1.647381,1.524124
2008-11-07 00:00:00-05:00,1.400102,1.349319,1.28396,1.277355,1.248707,1.305471,1.363195,1.514423,1.577226,1.632591,1.655886,1.697725,1.72613,1.758037,1.751928,1.73575,1.719785,1.723701,1.777012,1.756207,1.715616,1.663078,1.59496,1.485378
2008-11-08 00:00:00-05:00,1.405049,1.31752,1.266986,1.24815,1.231201,1.234989,1.267003,1.326012,1.352267,1.444111,1.504648,1.539726,1.542259,1.523626,1.507487,1.504574,1.512672,1.551986,1.62824,1.629081,1.610158,1.58328,1.543206,1.461889
